KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'mrp,'mrp,MARLBORO,RK,ROKOK,29600,29600,40000,35.13514,7,0,13
'8990800022437,'8990800022437,ALPENLIEBE KARAMEL,P,PERMEN,7500,7500,10000,33.33333,10,2,2
'8997027800176,9.00E+12,asa,RK,ROKOK,7000,7000,10000,42.85714,5,3,3
'089686732016,'089686732016,CHITATO LITE SEAWEED 35G,C,CEMILAN,5000,5000,7000,40,19,44,54
'8992745550525,'8992745550525,TISSUE MITU BABY 50 SHEETS,TS,TISSU,12000,12000,16000,33.33333,6,0,3
'8992750540856,'8992750540856,MITU BABY 20 SHEET,TS,TISSU,4800,4800,10000,108.33333,6,0,3
'8991038775553,'8991038775553,COTTON BUD SELECTION,CTB,CUTTON BUDS,4800,5307.69,10000,108.33333,12,10,13
'8999909003439,'8999909003439,MARLBORO KRETEK 12,RK,ROKOK,9300,9300,12000,29.03226,10,10,19
'887961931341,'887961931341,UNO EXPRESS,KRT,KARTU,10500,10500,15000,0,2,0,1
'8997026180309,'8997026180309,ROTI KEVIN`S 32G,RTI,ROTI,1700,1700,2500,47.05882,10,67,34
'8997225840035,'8997225840035,ROTI AOKA STRAWBERRY 65G,RTI,ROTI,1800,1800,3000,66.66667,10,15,22
'8997026180620,'8997026180620,ROTI KEVIN`S BROWNIES,RTI,ROTI,1000,1000,1500,50,10,14,4
'8997222130207,'8997222130207,MIE LEMONILO KARI AYAM 73G,MIE,MIE,6000,6000,8000,33.33333,9,0,0
'8992775000793,'8992775000793,GARUDA ROSTA PEDAS 11G,KCK,KACANG,850,850,1500,76.47059,5,90,121
'8992628022149,'8992628022149,MINYAK BIMOLI 1L,MYK,MINYAK,12600,12600,18000,0,4,0,3
'8990800020013,'8990800020013,MENTOS MINT 135G,P,PERMEN,6000,5833.33,8000,33.33333,7,4,5
'50017898,'50017898,FISHERMANS FRIEND CHERRY 25G,P,PERMEN,14000,14000,20000,0,8,0,-2
'8998009010569,'8998009010569,ULTRA MILK COKLAT 200ML,BTL,MINUMAN,5000,5000,6000,20,24,51,59
'8996006858108,'8996006858108,FRUIT TEA STRAWBERRY 350ML,BTL,MINUMAN,3350,3350,5000,49.25373,4,56,76
'8996006858092,'8996006858092,FRUIT TEA GUAVA 350ML,BTL,MINUMAN,3667,3667,5000,36.35124,8,61,50
'4891138947666,'4891138947666,SENTER EVEREADY BESAR,STR,SENTER,21000,21000,30000,0,8,0,0
'8992765101004,'8992765101004,GILLETTE GOAL SUPER PLATINUM,PCK,PENCUKUR,10500,10500,15000,0,7,0,0
'5013405650430,'5013405650430,SUPERMAX SWIFT 3 BLADE 4,PCK,PENCUKUR,14000,14000,20000,0,8,0,1
'0014,'0014,CASTOL KECIL 21CCM,LM,LEM,4200,4200,6000,0,12,0,3
'0015,'0015,CASTOL BESAR 51CCM,LM,LEM,7000,7000,10000,0,12,0,2
'8992803270303,'8992803270303,NOSY SHAMPOO MOBIL,SMP,SHAMPOO,1042,1042,2500,139.92322,8,48,2
'8999818746410,'8999818746410,DOUBLE TAPE HITAM BESAR 24MM,LBN,LAKBAN,7000,7000,10000,0,10,0,2
'8997777070218,'8997777070218,DOUBLE TAPE PUTIH KECIL 12MM,LBN,LAKBAN,3500,3500,5000,0,5,0,2
'8999818797405,'8999818797405,LEM WATER GLUE,LM,LEM,3500,3500,5000,0,6,0,3
'8886012882245,'8886012882245,KAPUR BARUS DAHLIA,ATL,ALAT TULIS,8400,8400,12000,0,4,0,1
'0016,'0016,FLUG MATSUI 3 SISI HIJAU,FLG,FLUG,21000,21000,30000,0,4,0,5
'6957029422099,'6957029422099,LAMPU FANOS UKTRA 9W,LMP,LAMPU,25900,25900,37000,0,9,0,1
'8718291777342,'8718291777342,LAMPU PHILIPS 5W,LMP,LAMPU,11900,11900,17000,0,8,0,1
'8993988345039,'8993988345039,JOYKO STAMP PAD,ATL,ALAT TULIS,7000,7000,10000,0,7,0,0
'6920911699565,'6920911699565,SISIR SHUMEIJIA,ATL,ALAT TULIS,5600,5600,8000,0,8,0,2
'0018,'0018,SISIR KECIL,ATL,ALAT TULIS,4200,4200,6000,0,7,0,2
'0019,'0019,SISIR SEDANG COKLAT,ATL,ALAT TULIS,4900,4900,7000,0,10,0,3
'0020,'0020,BENANG,ATL,ALAT TULIS,1400,1400,2000,0,6,0,7
'8992931006256,'8992931006256,TISSUE TESSA KECIL 6 PCS,TS,TISSU,5000,5000,18000,0,2,5,3
'0021,'0021,TISSUE PASEO 6 PCS,TS,TISSU,12600,12600,18000,0,2,0,0
'0022,'0022,TISSUE PASEO KECIL,TS,TISSU,2100,2100,3000,0,6,0,40
'0023,'0023,TISSUE TESSA KECIL,TS,TISSU,1250,1250,3000,0,6,18,9
