KdBar,Barcode,Nmbar,KdKel,NmKel,HBeli,HPokok,HJual,markup,StAwal,StMasuk,StKeluar
'8998127912370,'8998127912370,DUNHILL WHITE,RK,ROKOK,34000,34000,36000,5.88235,20,137,857
'8998127912363,9.00E+12,DUNHILL HITAM,RK,ROKOK,27500,27500,30000,9.09091,20,83,658
'76239878,'76239878,MARLBORO GOLD,RK,ROKOK,46500,46500,50000,7.52688,50,1221,1569
'76164217,'76164217,MARLBORO MERAH,RK,ROKOK,46500,46500,50000,7.52688,50,675,1013
'8997018460150,'8997018460150,MARLBORO ICE BURST,RK,ROKOK,46000,46000,50000,8.69565,20,267,322
'8999909982000,'8999909982000,SAMPOERNA MILD 12,RK,ROKOK,5,5,27000,99999.99999,20,308,429
'8999909096004,'8999909096004,SAMPOERNA MILD,RK,ROKOK,33000,33000,36000,9.09091,50,546,958
'8999909000650,'8999909000650,SAMPOERNA MENTHOL BURST,RK,ROKOK,33000,33000,36000,9.09091,15,64,94
'8886008101053,'8886008101053,AIR AQUA 500 ML,AIR,AIR,1950,1950,5000,156.41026,150,2868,2789
'8992752091127,'8992752091127,AIR AQUA 750 ML,AIR,AIR,5500,5500,7500,0,30,0,17
'C,'C,CEMILAN,C,CEMILAN,700,700,1000,42.85714,9,4127,32437
'WSP-LCH,'WSP-LCH,WIJA SOJU SPARKLING LYCHEE,ALC,ALCOHOL,20500,20500,25000,21.95122,5,12,1
'8993268342024,'8993268342024,AIR CHEERS ALKALINE 500ML,AIR,AIR,1745,1755.1,5000,186.53295,50,96,114
'8992752011033,'8992752011033,AIR VIT 500ML,AIR,AIR,1500,1161.29,5000,233.33333,50,24,43
'8886008101091,'8886008101091,AIR AQUA 1500ML,AIR,AIR,4400,4400,8000,81.81818,200,972,2483
'8997206580387,'8997206580387,BEER BINTANG KECIL 330ML,BEER,BEER,18417,18417,23000,24.88462,500,720,1618
'8997206580400,'8997206580400,BEER BINTANG BESAR 720ML,BEER,BEER,33000,33000,38000,15.15152,300,496,1058
'4033100066726,'4033100066726,CAMEL PURPLE,RK,ROKOK,27000,27000,30000,11.11111,20,141,192
'42139447,'42139447,CAMEL WHITE,RK,ROKOK,27000,27000,30000,11.11111,20,277,388
'8998989110129,'8998989110129,GUDANG GARAM SURYA 12,RK,ROKOK,24200,24200,27000,11.57025,20,671,1169
'8998989110167,'8998989110167,GUDANG GARAM SURYA 16,RK,ROKOK,33150,33150,36000,8.59729,20,182,331
'8992761111137,'8992761111137,SCHWEPPES TONIC WATER,BTL,MINUMAN,5167,5167,8000,54.82872,50,59,96
'8992761111151,'8992761111151,SCHWEPPES JAHE,BTL,MINUMAN,4800,4800,8000,66.66667,30,24,126
'8992761111144,'8992761111144,SCHWEPPES AIR SODA,BTL,MINUMAN,4800,4800,11000,0,30,0,41
'8997206580493,'8997206580493,BEER BINTANG RADLER 330 ML,BEER,BEER,18333,18333,23000,25.45683,100,36,155
'8997206580981,'8997206580981,BEER BINTANG RADLER ORG 330ML,BEER,BEER,14925,14925,25000,67.50419,100,12,106
'8996001354124,'8996001354124,BENG-BENG 20G,C,CEMILAN,1764,1764,2500,41.72336,113,950,997
'8996001600146,'8996001600146,TEH PUCUK 350 ML,BTL,MINUMAN,2625,2625,5000,90.47619,24,731,724
'8992761166038,'8992761166038,MINUTE MAID PULPY ORANGE,BTL,MINUMAN,4300,4300,7000,62.7907,24,182,484
'8998866500708,'8998866500708,FLORIDINA,BTL,MINUMAN,2750,2750,5000,81.81818,24,130,532
'089686611618,'089686611618,QTELA SINGKONG 60G,SNK,SNACK,6200,6200,8000,29.03226,48,26,81
'089686598476,'089686598476,CHITATO AYAM 68 G,SNK,SNACK,10000,10000,12000,37.14286,48,23,185
'089686598056,'089686598056,CHITATO SAPI PANGGANG 68G,SNK,SNACK,9500,9500,12000,26.31579,48,39,208
'8998866201728,'8998866201728,POTABE RASA TELUR ASIN,SNK,SNACK,9500,9500,12000,0,24,0,23
'8998866201490,'8998866201490,POTABE RUMPUT LAUT PANGGANG,SNK,SNACK,7900,7900,10000,21.95122,24,15,56
'8998866202053,'8998866202053,POTABEE AYAM BAKAR 68G,SNK,SNACK,8000,8000,10000,25,24,0,28
'147,'L238,YAKULT 1 PCS,BTL,MINUMAN,1800,1800,2500,38.88889,8,75,1537
'089686060102,'089686060102,POP MIE GORENG PEDES GLEDEK,MIE,MIE,5050,5050,7000,38.61386,20,57,521
'089686060362,'089686060362,POP MIE RASA SOTO AYAM,MIE,MIE,4375,4375,7000,60,15,28,164
'8998866200820,'8998866200820,MIE SEDAP CUP AYAM BAWANG T,MIE,MIE,4250,4250,7000,64.70588,20,45,227
'089686067002,'089686067002,POP MIE KUAH PEDES DOWER,MIE,MIE,5050,5050,7000,38.61386,20,23,335
'8998866200844,'8998866200844,MIE SEDAP CUP KARI AYAM,MIE,MIE,4500,4625,7000,47.36842,10,83,99
'8998866200813,'8998866200813,MIE SEDAP CUP GORENG,MIE,MIE,4500,4500,7000,55.55556,10,120,142
'8992718853462,'8992718853462,NISSIN CUP NOODLES,MIE,MIE,5400,5400,8000,0,3,0,100
'GA,'GA,GELAS + AIR,AIR,AIR,890,890,2000,0,6,100,1797
'110,'110,CHOK-CHOK CHOCOLATE,CKL,COKELAT,25000,25000,40000,0,30,0,89
'8999999524142,'8999999524142,MAGNUM HAZELNUT LUXE,ES,ESKRIM,10900,10900,15000,37.61468,24,0,59
'8999999538187,'8999999538187,MAGNUM MACADAIMA,ES,ESKRIM,10900,10900,15000,37.61468,24,0,228
'8999999045555,'8999999045555,MAGNUM WHITE ALMOND,ES,ESKRIM,14532,23220,18000,23.86457,24,12,43
'8999999005689,'8999999005689,MAGNUM CLASSIC,ES,ESKRIM,13092,13092,17000,29.85029,24,84,335
'8999999540357,'8999999540357,FEAST DOUBLE,ES,ESKRIM,5500,5500,8000,0,24,0,145
'8999999294021,'8999999294021,FEAST VANILA,ES,ESKRIM,4364,4364,7000,60.4033,24,84,125
'8999999294038,'8999999294038,FEAST COKELAT,ES,ESKRIM,4364,4364,7000,60.4033,24,21,77
'8999999549664,'8999999549664,MAGNUM BALI-SERIES RASPBERRY,ES,ESKRIM,16000,16000,20000,25,24,0,177
'8999999549671,'8999999549671,MAGNUM BALI-SERIES COCONUT,ES,ESKRIM,16000,16000,20000,25,8,0,94
'8999999513757,'8999999513757,CORNETTO OREO,ES,ESKRIM,10000,9773,13000,30,24,48,59
'8999999034610,'8999999034610,CORNETO CHOCOLATE DISC,ES,ESKRIM,10000,10000,13000,30,24,36,134
'8999999539450,'8999999539450,CORNETTO SILVER QUEEN,ES,ESKRIM,10092,10092,13000,28.8149,24,24,179
'8999999282196,'8999999282196,POPULAIRE COKELAT,ES,ESKRIM,3600,3600,6000,66.66667,40,60,82
'8999999282202,'8999999282202,POPULAIRE STRAWBERRY VANILLA,ES,ESKRIM,3600,3600,6000,66.66667,20,60,44
'8999999048556,'8999999048556,SANDWICH VANILLA & CHOCO,ES,ESKRIM,8300,8300,11000,0,24,0,5
'8999999547448,'8999999547448,WALL'S SOLERO,ES,ESKRIM,4037,4037,6000,48.62522,24,168,177
'8999999275440,'8999999275440,PADDLE POP SHAKY SHAKE,ES,ESKRIM,8073,8073,11000,36.25666,24,12,104
'69024894,'69024894,SNICKERS 35G,CKL,COKELAT,3500,3500,7000,0,48,0,175
'6914973600362,'6914973600362,SNICKERS 51G,CKL,COKELAT,7200,7200,12000,0,48,0,438
'8996001355756,'8996001355756,BENG-BENG MAX,CKL,COKELAT,2900,2900,5000,72.41379,48,132,687
'8992772215039,'8992772215039,SOFFELL GERANUIM,OBT,OBAT NYAMUK,13500,13500,18000,33.33333,20,25,107
'8992772315111,'8992772315111,SOFFELL KULIT JERUK,OBT,OBAT NYAMUK,11000,11000,18000,0,24,0,75
'8990800100012,'8990800100012,MENTOS MINT 37G,P,PERMEN,3500,3500,6000,71.42857,7,4,159
'9555192508694,'9555192508694,DOUBLEMINT CHEWYMINTS 9G,P,PERMEN,1500,1500,3000,0,10,0,5
'9555192508724,'9555192508724,DOUBLEMINT CHEWYMINT LEMON 9G,P,PERMEN,1500,1500,3000,0,6,0,10
'9555192501107,'9555192501107,DOUBLEMINT13.5G,P,PERMEN,3500,3500,5000,42.85714,7,60,678
'8998866200301,'8998866200301,MIE SEDAP GORENG 90G,MIE,MIE,2850,2850,3500,22.80702,6,456,1513
'089686010947,'089686010947,INDOMIE GORENG 85G,MIE,MIE,2875,2875,3500,21.73913,7,437,380
'089686010343,'089686010343,INDOMIE SOTO MIE 70G,MIE,MIE,2875,2875,3500,21.73913,8,104,342
'8998866200332,'8998866200370,MIE SEDAP KARI AYAM 72G,MIE,MIE,2875,2875,3500,0,9,0,28
'8998866200318,'8998866200318,MIE SEADAP AYAM BAWANG 70G,MIE,MIE,2850,2850,3500,22.80702,6,121,794
'8998866200325,'8998866200325,MIE SEDAP SOTO 75G,MIE,MIE,2850,2850,3500,22.80702,6,190,774
'7622210737533,'7622210737533,BELVITA PISANG & SEREAL 80G,WFR,WAFFER,7800,7800,10000,0,7,0,21
'7622210609397,'7622210609397,BELVITA MADU & COKELAT 80G,WFR,WAFFER,7700,7700,10000,0,8,0,24
'8886467100048,'8886467100048,PRINGLES SMOKY BBQ 107G,SNK,SNACK,21000,21000,25000,19.04762,7,19,19
'8886467100017,'8886467100017,PRINGLES ORIGINAL 107G,SNK,SNACK,20000,20000,25000,25,8,41,191
'8886467100031,'8886467100031,PRINGLES CHEESY CHEESE 107G,SNK,SNACK,21800,21800,24000,10.09174,5,10,70
'8886467100062,'8886467100062,PRINGLES SALT & SEAWEED 107G,SNK,SNACK,20000,20000,25000,25,6,9,36
'8886467100024,'8886467100024,PRINGLES SOUR CREAM & ONION,SNK,SNACK,20083,20083,25000,24.48339,7,32,192
'8886467100260,'8886467100260,PRINGLES ORIGINAL 42G,SNK,SNACK,10500,10500,14000,33.33333,10,50,132
'8886467100246,'8886467100246,PRINGLES SOUR CREAM ONION 42G,SNK,SNACK,10500,10500,14000,33.33333,6,27,145
'8992760121090,'8992760121090,OREO PEANUT&CHOCOLATE 123G,SNK,SNACK,8000,8000,10000,42.85714,6,15,121
'7622210708434,'7622210708434,OREO DARK AND WHITE CHOCOLATE,SNK,SNACK,7000,7000,10000,0,7,0,41
'8992760221028,'8992760221028,OREO ORIGINAL 152G,SNK,SNACK,8000,8000,11000,37.5,5,55,419
'8993027111601,'8993027111601,HAPPY TOS CORN CHIPS 160G,SNK,SNACK,10000,10000,14000,40,6,18,135
'8993027121600,'8993027121600,HAPPY TOS TORTILLA CHIPS 160G,SNK,SNACK,11000,11000,14000,27.27273,7,28,100
'8993027163907,'8993027163907,HAPPY TOS NACHO CHEESE 140G,SNK,SNACK,11000,11000,15000,36.36364,10,5,43
'089686727036,'089686727036,DORITOS BARBEQUE 160G,SNK,SNACK,12600,12600,18000,0,5,0,3
'089686727074,'089686727074,DORITOS ROASTED CORN 160G,SNK,SNACK,12600,12600,18000,0,7,0,41
'8993027163754,'8993027163754,HAPPY TOS TORTILLA CHIPS 55G,SNK,SNACK,4500,4500,6000,33.33333,8,29,167
'8991002103764,'8991002103764,GOOD DAY CAPPUCCINO 25G,KP,COFFEE,1750,1750,2500,42.85714,6,232,1625
'8991002103238,'8991002103238,GOOD DAY MOCACINNO,KP,COFFEE,1400,1400,2000,0,6,0,97
'8998666001306,'8998666001306,TORA BIKA CREAMY LATTE 25G,KP,COFFEE,1400,1400,2000,0,8,0,20
'8996001440124,'8996001440124,ENERGEN VANILA 29G,SRL,SEREAL,1760,1760,2500,42.04545,10,40,194
'8996001440087,'8996001440087,ENERGEN KACANG HIJAU 30G,SRL,SEREAL,1800,1800,2500,38.88889,5,10,129
'8994171101289,'8994171101289,LUWAK WHITE KOFFIE ORIGINAL,KP,COFFEE,1400,1400,2000,75.4386,6,20,1029
'8994231100405,'8994231100405,KOPI BANYUATIS ORIGINAL 23GR,KP,COFFEE,1400,1400,2000,0,7,0,179
'8991002105485,'8991002105485,KOPI KAPAL API SPECIAL MIX 25G,KP,COFFEE,1400,1400,2000,62.60163,8,30,410
'8991002101630,'8991002101630,KOPI ABC KOPI + SUSU 31G,KP,COFFEE,1400,1400,2000,42.85714,7,40,1458
'9311931024036,'9311931024036,INDOCAFE COFFEEMIX 3 IN 1 20G,KP,COFFEE,1400,1400,2000,0,10,0,215
'8992696420557,'8992696420557,NESCAFE 3ORIGINAL 3 IN 1 17.5G,KP,COFFEE,1300,1300,2000,53.84615,10,40,641
'8991002101265,'8991002101265,KOPI ABC PLUS GULA 18G,KP,COFFEE,1400,1400,2000,42.85714,10,72,684
'8993007001359,'8993007001359,INDOMILK COKELAT 37G,CKL,COKELAT,1300,1300,2000,53.84615,5,48,206
'8993007001557,'8993007001557,INDOMILK KENTAL MANIS 37G,CKL,COKELAT,1333,1333,2500,87.54689,10,138,528
'8997255500190,'8997255500190,KWACI 15G,C,CEMILAN,900,900,1500,66.66667,10,370,727
'8991002105645,'8991002105645,KOPI KAPAL API KOPI + GULA 25G,KP,COFFEE,1400,1400,2000,0,8,10,334
'89981788,'89981788,DUNHILL MENTHOL,RK,ROKOK,27800,27800,30000,7.91367,20,30,101
'8991906105758,'8991906105758,L.A BOLD 20,RK,ROKOK,36100,36100,39000,8.03324,18,49,71
'89981115,'89981115,LUCKY STRIKE BLUE,RK,ROKOK,29000,29000,31000,6.89655,9,67,605
'89981108,'89981108,LUCKY STRIKE RED,RK,ROKOK,27500,27500,30000,9.09091,5,107,701
'8999909001626,'8999909001626,SAMPOERNA A FILTER,RK,ROKOK,12951,12951,16000,23.54258,10,0,8
'8991926101013,'8991926101013,IN MILD MERAH,RK,ROKOK,24600,24600,28000,13.82114,30,645,983
'8998989100120,'8998989100120,GUDANG GARAM FILTER INTER,RK,ROKOK,24500,24500,27000,10.20408,20,121,210
'8999909000480,'8999909000483,AVOLUTION MENTHOL,RK,ROKOK,27000,27000,30000,11.11111,15,30,135
'8999909000377,'8999909000377,AVOLUTION ORIGINAL,RK,ROKOK,27000,27000,30000,11.11111,15,20,120
'8999909085110,'8999909085114,SAMPOERNA KRETEK,RK,ROKOK,11400,11400,13000,14.03509,10,10,283
'8999909000544,'8999909000544,MARLBOORO FILTER BLACK,RK,ROKOK,37900,37900,40000,5.5409,85,35,121
'8999909028234,'8999909028234,DJ SAM SOE KRETEK,RK,ROKOK,18250,18250,21000,15.06849,15,15,209
'8999909028999,'8999909028999,DJI SAM SOE PREMIUM,RK,ROKOK,19300,19300,22000,13.98964,15,7,118
'8999909010567,'8999909010567,DJI SAMSOE KRETEK 16,RK,ROKOK,24400,24400,27000,10.65574,10,23,126
'8999909000971,'8999909000971,MAGNUM MILD 20,RK,ROKOK,22700,22700,25000,10.13216,10,10,118
'8999909000711,'8999909000711,MAGNUM MILD 16,RK,ROKOK,18450,18450,22000,19.24119,5,10,94
'8995078800008,'8995078800008,U MILD 12,RK,ROKOK,14600,14600,18000,23.28767,16,10,291
'8995078803078,'8995078803078,U MILD 16,RK,ROKOK,20300,20300,25000,23.15271,10,20,160
'8997032821012,'8997032821012,ESSE BLUE,RK,ROKOK,36900,36900,39000,5.69106,10,51,242
'8997032821388,'8997032821388,ESSE CHANGE GRAPPE,RK,ROKOK,37700,37700,41000,8.75332,10,4,60
'8997032821173,'8997032821173,BOHEM MOJITO,RK,ROKOK,33500,33500,28000,7.69231,10,2,68
'8997032821302,'8997032821302,ESSE BERRY POP,RK,ROKOK,31200,31200,34000,8.97436,1,8,171
'8997032821203,'8997032821203,ESSE MILD MENTHOL,RK,ROKOK,23500,23500,27000,14.89362,10,0,70
'8997032821272,'8997032821272,ESSE CHANGE,RK,ROKOK,37700,37700,41000,8.75332,10,31,56
'8997032821319,'8997032821319,ESSE HONEY POP,RK,ROKOK,31200,31200,34000,8.97436,10,2,164
'8997032821227,'8997032821227,ESSE SHUFFLE POP,RK,ROKOK,31200,31200,34000,8.97436,10,6,48
'8991906101361,'8991906101361,MLD PUTIH,RK,ROKOK,25000,25000,27000,8,10,10,84
'8999999005610,'8999999005610,MAGNUM ALMOND,ES,ESKRIM,14500,19850.4,19000,31.03448,20,108,159
'8995077601767,'8995077601767,KACANG SUKRO POLONG,KCK,KACANG,5000,5000,8000,60,20,0,35
'8994729100122,'8994729100122,APACHE 16,RK,ROKOK,17200,17200,20000,16.27907,20,0,20
'8994729100245,'8994729100245,APACHE 12,RK,ROKOK,12800,12800,15000,17.1875,10,10,48
'8997211410020,'8997211410020,MONTEZUMA,RK,ROKOK,22000,22000,27000,22.72727,7,5,94
'8997032821197,'8997032821197,ESSE MILD,RK,ROKOK,24000,24000,27000,12.5,20,0,16
'8997032821234,'8997032821234,ESSE BLUE CHANGE,RK,ROKOK,37000,37000,40000,8.10811,10,19,185
'8997032821418,'8997032821418,ESSE JUICY,RK,ROKOK,38600,38600,40000,3.62694,10,18,109
'8997210140010,'8997210140010,SMIRNOFF ICE 275ML,BTL,MINUMAN,22000,22000,27000,21.34831,48,192,242
'89981764,'89981764,DUNHILL BLUE INTERNATIONAL,RK,ROKOK,27800,27800,30000,7.91367,10,30,148
'89981757,'89981757,DUNHILL RED INTERNATIONAL,RK,ROKOK,27800,27800,30000,7.91367,10,30,28
'8997033000973,'8997033000973,POPCORN SALTED CARAMEL,SNK,SNACK,24500,24500,35000,0,7,0,41
'8997217370199,'8997217370199,CAMEL YELLOW,RK,ROKOK,27000,27000,30000,11.11111,10,185,261
'4902210200804,'4902210200804,MEVIUS BLUE,RK,ROKOK,26300,26300,30000,14.06844,10,0,90
'01231233,'01231233,WINSTON RED,RK,ROKOK,20400,20400,22000,7.84314,10,10,75
'01231932,'01231932,WINSTON BLUE,RK,ROKOK,20400,20400,22000,7.84314,10,10,52
'8991926101020,'8991926101020,IN MILD MENTHOL,RK,ROKOK,24600,24600,28000,13.82114,10,199,372
'8991906101101,'8991906101101,LA ICE,RK,ROKOK,24500,24500,27000,10.20408,10,3,62
'8991906101071,'8991906101071,LA MENTHOL,RK,ROKOK,24000,24000,26500,10.41667,10,0,31
'8991906101057,'8991906101057,LA LIGHT,RK,ROKOK,25500,25500,26500,10.41667,10,14,55
'8998989300391,'8998989300391,GUDANG GARAM SURYA PRO PUTIH,RK,ROKOK,22700,22700,26000,14.53744,10,22,32
'8998989121163,'8998989121163,GUDANG GARAM SURYA PRO MERAH,RK,ROKOK,18600,18600,21000,12.90323,10,10,21
'8991906109992,'8991906109992,MLD BLACK,RK,ROKOK,17100,17100,21000,22.80702,10,0,38
'8997210140040,'8997210140041,SMIRNOFF RESPBERRY,BTL,MINUMAN,20625,20625,30000,45.45455,24,0,116
'8997210140027,'8997210140027,SMIRNOFF GREEN APPLE,BTL,MINUMAN,22000,22000,27000,22.72727,24,36,207
'045,'045,SPIDOL,ATL,ALAT TULIS,7000,7000,10000,0,10,0,15
'8997206580516,'8997206580516,BEER BINTANG RADLER LEMON KLG,BEER,BEER,16800,16800,24000,0,24,0,143
'8997206581001,'8997206581001,BEER BINTANG RADLER ORANGE,BEER,BEER,16800,16800,24000,0,24,0,56
'8997206580424,'8997206580424,BEER BINTANG KLG 330 ML,BEER,BEER,19200,19200,25000,30.20833,48,128,179
'8997206580455,'8997206580455,BEER BINTANG KLG 500ML,BEER,BEER,28000,33250,32000,14.28571,48,161,231
'9002490207267,'9002490207267,REDBULL ENERGY DRINK,BTL,MINUMAN,20625,20625,25000,19.04762,25,37,148
'8886057883665,'8886057883665,KRATINDENG REDBULL,BTL,MINUMAN,4850,4850,7000,52.9052,40,54,393
'8999908034205,'8999908034205,HEMAVITON ENERGY DRINK,BTL,MINUMAN,4350,4350,7000,60.91954,40,50,47
'8997028440012,'8997028440012,KRATINDENG REDBULL KLG,BTL,MINUMAN,6500,6500,10000,53.84615,20,18,98
'8992761111014,'8992761111014,COCA-COLA ORIGINAL KLG 330ML,BTL,MINUMAN,4583,4583,7000,52.73838,48,55,326
'8992761111038,'8992761111038,SPRITE KLG 330ML,BTL,MINUMAN,4800,4800,8000,66.66667,48,16,115
'8992761111021,'8992761111021,COCA-COLA LIGHT TASTE KLG,BTL,MINUMAN,5600,5600,8000,0,20,0,189
'8992761111298,'8992761111298,COCA-COLA ZERO KLG 330ML,BTL,MINUMAN,4800,4800,7000,45.83333,20,102,484
'8992761111045,'8992761111045,FANTA STRAWBERRY KLG 330ML,BTL,MINUMAN,7000,7000,10000,0,20,0,32
'8996006133014,'8996006133014,FRUIT TEA APEL KLG,BTL,MINUMAN,4500,4500,6000,33.33333,10,0,0
'8997206580769,'8997206580769,HEINEKEN KLG 330ML,BTL,MINUMAN,16100,16100,23000,0,20,0,127
'8997026800016,'8997026800016,ALBENS ORIGINAL,BTL,MINUMAN,28000,28000,40000,0,48,0,132
'8997026800030,'8997026800030,ALBENS APPLE & MANGO,BTL,MINUMAN,28000,28000,40000,0,24,0,106
'8997026800078,'8997026800078,ALBENS APPLE & STRAWBERRY,BTL,MINUMAN,28000,28000,40000,0,24,0,63
'8992756333520,'8992756333520,SAN MIGUEL 640ML,BTL,MINUMAN,3625,36250,45000,1141.37931,48,0,50
'8992756533692,'8992756533692,SAN MIG LIGHT 330ML,BTL,MINUMAN,25436,28456,29000,14.01164,24,36,64
'8992756333537,'8992756333537,SAN MIGUEL 330 ML,BTL,MINUMAN,21208,21208,26000,22.59525,24,12,70
'8414775018399,'8414775018399,FILTER SMOKING,RK,ROKOK,25000,25000,30000,20,20,0,53
'8991001121615,'8991001121615,SILVER QUEEN MILK CHOCHO 65G,CKL,COKELAT,14000,14000,20000,0,24,0,67
'8991001111883,'8991001111883,SILVERQUEEN CHUNKY BAR 33G,CKL,COKELAT,7500,7500,10000,46.52015,6,16,37
'8991001111289,'8991001111289,SILVERQUEEN MILK CHOCHO 30G,CKL,COKELAT,7500,7500,10000,33.33333,8,21,66
'8999999195649,'8999999195649,TEH CELUP SARI WANGI,TEA,TEA,5500,5500,8000,45.45455,6,5,33
'8995177101112,'8995177101112,GULAKU 1KG,GL,GULA,11900,11900,17000,0,7,25,38
'8991001503107,'8991001503107,CHACHA PEANUT,P,PERMEN,3600,3600,7000,0,9,13,98
'8991001503114,'8991001503114,CHACHA MILK CHOCHO,P,PERMEN,3070,3070,4500,46.5798,8,20,85
'8004800023018,'8004800023018,POKER NOCCIOLA,WFR,WAFFER,8400,8400,12000,0,9,0,12
'8004800023001,'8004800023001,POKER CACAO,WFR,WAFFER,8400,8400,12000,0,9,0,7
'8997033001079,'8997033001079,POPCORN CHOCHOLATE CARAMEL,SNK,SNACK,24500,24500,35000,0,7,0,17
'8997033000737,'8997033000737,GRANOLA BITES CHOCO VANILA,SNK,SNACK,18000,18000,35000,94.44444,6,0,7
'8997033000829,'8997033000829,GRANOLA BITES COCONUT BANANA,SNK,SNACK,18000,18000,35000,94.44444,6,0,0
'9556182023289,'9556182023289,DAIRY MILK CASHEW &COOKIES,CKL,COKELAT,24500,24500,35000,0,9,0,8
'7622210681614,'7622210681614,DAIRY MILK SAHEWNUT,CKL,COKELAT,8400,8400,12000,0,7,0,1
'9556182023234,'9556182023234,DAIRY MILK CHOCHOLATE,CKL,COKELAT,8500,8500,11000,52.77778,9,15,25
'7622210086693,'7622210086693,DAIRY MILK FRUIT & NUT,CKL,COKELAT,14000,14000,20000,42.85714,7,0,42
'7622210640994,'7622210640994,DAIRY MILK CASHEWNUT 65G,CKL,COKELAT,14000,14000,20000,42.85714,10,0,46
'9556182023258,'9556182023258,DAIRY MILK CHOCOLATE 65G,CKL,COKELAT,15000,15000,20000,42.85714,7,4,41
'7622210398055,'7622210398055,DAIRY MILK BLACK FOREST 65G,CKL,COKELAT,14000,14000,20000,42.85714,7,0,43
'8993200664061,'8993200664061,YOGURT BLUEBRRY 70ML,YG,YOGURT,2100,2100,3000,0,5,0,9
'8997009510123,'8997009510123,ORANGE WATER 500ML,BTL,MINUMAN,7000,7000,9000,28.57143,9,283,1348
'8997009510116,'8997009510116,YOU-C1000 LEMON WATER 500ML,BTL,MINUMAN,6667,6667,9000,34.99325,5,90,687
'8992761164539,'8992761164539,NUTRIBOOST ORANGE 300ML,BTL,MINUMAN,5500,5500,7000,27.27273,7,66,138
'9556001047175,'9556001047175,NESCAFE ORIGINAL 240ml,KOPI ,COFFE,8252,8252,11000,19.56522,8,27,361
'8992761164546,'8992761164546,NUTRIBOOST STRAWBERRY 300ML,YG,YOGURT,5300,5300,7000,32.07547,9,73,274
'8998009010613,'8998009010613,ULTRA MILK FULL CREAM 100ML,SS,SUSU,18000,18000,22000,22.22222,8,11,91
'8998009010637,'8998009010637,ULTRAMLK LOW FAT 1000ML,SS,SUSU,21500,21500,25000,0,10,14,57
'8998009010620,'8998009010620,ULTRA MILK RASA COKELAT,SS,SUSU,18000,18000,22000,29.41176,10,18,32
'8991002121041,'8991002121041,GOOD DAY CARAMEL MACCHIATO,KOPI ,COFFE,3500,3500,5000,0,24,0,4
'8998009010248,'8998009010248,ULTRA MILK STRAWBERRY 250ML,SS,SUSU,5625,5625,8000,42.22222,24,149,346
'8998009010231,'8998009010231,ULTRA MILK COLKEAT 250ML,SS,SUSU,5800,5800,8000,37.93103,5,134,789
'8998009010224,'8998009010224,ULTRA MILK FULL CREAM 250ML,SS,SUSU,6450,6450,8000,65.52866,8,52,373
'8998009020186,'8998009020186,BUAVITA GUAVA 250ML,BTL,MINUMAN,7500,7500,9000,20,10,55,339
'8992702006003,'8992702006003,INDOMILK MELON 190ML,SS,SUSU,3500,3500,5000,0,24,0,87
'8992702005976,'8992702005976,INDOMILK STRAWBERRY 190ML,SS,SUSU,3500,3500,5000,0,10,0,100
'8992702005945,'8992702005945,INDOMILK COKELAT 190ML,SS,SUSU,3500,3500,5000,0,5,0,38
'8992702005921,'8992702005921,INDOMILK VANILA 190ML,SS,SUSU,3500,3500,5000,0,5,0,24
'8991102222006,'8991102222006,TEH GELAS,TEA,TEA,833,821.95,1500,80.07203,50,336,411
'8997009510055,'8997009510055,YOU-C1000 ORANGE,BTL,MINUMAN,7000,7000,9000,28.57143,8,209,1100
'8997009510017,'8997009510017,YOU-C1000 LEMON,BTL,MINUMAN,6500,6500,9000,28.57143,8,105,601
'9556001051509,'9556001051509,MILO ORIGINAL CAN 240ML,SS,SUSU,8750,8750,11000,25.71429,10,14,74
'8850389108277,'8850389108277,MOGU MOGU COCONUT,BTL,MINUMAN,8150,8150,10000,33.33333,7,3,303
'8850389108055,'8850389108055,MOGU MOGU STRAWBERRY,,,9000,9000,11000,22.22222,8,12,16
'8850389114438,'8850389114438,MOGU MOGU MELON,BTL,MINUMAN,9000,9000,10000,0,8,12,103
'8998009020179,'8998009020179,BUAVITA ORANGE 250ML,BTL,MINUMAN,7500,7500,10000,33.33333,24,31,82
'8998009050053,'8998009050053,SARI KACANG IJO 250ML,BTL,MINUMAN,3375,3375,7000,0,7,36,190
'8992761151096,'8992761151096,MINUTE MAID NUTRIFORCE,BTL,MINUMAN,3500,3500,5000,0,6,0,8
'8995227500292,'8995227500292,LARUTAN CAP KAKI TIGA MELON,BTL,MINUMAN,5417,5417,8000,47.68322,8,156,506
'9556156003385,'9556156003385,YEOS GRASS JELLY DRINK,BTL,MINUMAN,5600,5600,8000,0,10,0,118
'9556001054005,'9556001054005,NESCAFE MOCHA 240ml,BTL,MINUMAN,8252,8252,11000,22.22222,9,28,205
'9556001025272,'9556001025272,NESCAFE LATTE 240ML,BTL,MINUMAN,9000,9000,11000,22.22222,6,182,513
'8997035111110,'8997035111110,POCARI SWEAT CAN 330 ML,BTL,MINUMAN,5250,5250,7000,33.33333,8,33,207
'8992772586016,'8992772586016,ADEM SARI CHING KU CAN 320 ML,BTL,MINUMAN,6000,6000,8000,33.33333,5,46,490
